NUTS_ID,Country_ID,osm_banks,osm_share,ecb_offices,ecb_year,branches_cal,pop,branches_per10k,iubk,iubk_src,access_draft
ITH5,IT,1331,0.09565217391304348,19182,2025,1834.8,4461998,4.112059216521388,66.46,nuts2,0.49581609233482615
ITI1,IT,1206,0.0866690621631333,19182,2025,1662.485950413223,3657716,4.545147710793356,60.82,nuts2,0.5078711169712793
ITI2,IT,259,0.01861300754581387,19182,2025,357.03471074380167,851473,4.193141893445848,56.29,nuts2,0.5546049810053522
ITI3,IT,351,0.025224577793747753,19182,2025,483.8578512396694,1480545,3.2681063475927408,62.72,nuts2,0.5636940910967628
ITI4,IT,876,0.06295364714337047,19182,2025,1207.5768595041322,5709178,2.1151501310768945,59.03,nuts2,0.647620965139954
LT01,LT,46,0.23711340206185566,359,2025,85.12371134020619,876727,0.9709260846330293,87.46,nuts2,0.5318546828940007
LT02,LT,148,0.7628865979381443,359,2025,273.8762886597938,2013937,1.3599049456849632,75.72,nuts2,0.5840814215105401
LU00,LU,206,1,142,2025,142,681973,2.082193869845287,74.41,nuts2,0.5539681160703273
LV00,LV,110,1,64,2025,64,1860565,0.34398153249147434,86.04,nuts2,0.5738537250576121
MT00,MT,85,1,106,2025,106,574250,1.845885938180235,77.56,nuts2,0.5469400246406798
NL11,NL,27,0.05325443786982249,980,2025,52.18934911242604,602833,0.8657347741816728,95.75,nuts2,0.48600321863856955
NL12,NL,22,0.04339250493096647,980,2025,42.52465483234714,664222,0.6402175000579194,93.93,nuts2,0.5092312975276434
NL13,NL,19,0.03747534516765286,980,2025,36.7258382642998,506529,0.7250490744715465,95.03,nuts2,0.4979172366838278
NL21,NL,40,0.07889546351084813,980,2025,77.31755424063117,1195789,0.6465819157111428,93.78,nuts2,0.5098247633315544
NL22,NL,69,0.13609467455621302,980,2025,133.37278106508876,2161358,0.6170786193915527,95.61,nuts2,0.5000357544652023
NL23,NL,19,0.03747534516765286,980,2025,36.7258382642998,456395,0.8046941413534285,91.08,nuts2,0.5182014129285946
NL31,NL,37,0.07297830374753451,980,2025,71.51873767258382,1387643,0.5153972431856308,96.52,nuts2,0.49977442836861097
NL32,NL,69,0.13609467455621302,980,2025,133.37278106508876,2992016,0.44576225884182696,96.97,nuts2,0.5006697715888873
NL33,NL,87,0.17159763313609466,980,2025,168.16568047337276,3804906,0.4419706570237813,94.79,nuts2,0.5143923991158834
NL34,NL,13,0.02564102564102564,980,2025,25.128205128205128,392969,0.6394449722040448,98.14,nuts2,0.48315881064939836
NL41,NL,72,0.14201183431952663,980,2025,139.1715976331361,2664047,0.5224066903967388,95.68,nuts2,0.5046136114442286
NL42,NL,33,0.0650887573964497,980,2025,63.78698224852071,1135328,0.5618374799927485,92.42,nuts2,0.5227469140861485
PL21,PL,560,0.07980618497933589,9114,2025,727.3535699016674,3319792,2.1909612707713837,49.18,nuts2,0.7047040699581861
PL22,PL,731,0.10417557360695454,9114,2025,949.4561778537836,4190666,2.2656450737276215,63.07,nuts2,0.61459465538512
PL41,PL,714,0.10175288584865327,9114,2025,927.375801624626,3433354,2.7010783089207404,54.83,nuts2,0.6426525779904226
PL42,PL,292,0.041613225024939436,9114,2025,379.262932877298,1571895,2.41277523547882,57.39,nuts2,0.6420367677607363
PL43,PL,264,0.03762291577597264,9114,2025,342.89525438221466,943794,3.6331578117917114,50.62,nuts2,0.6194205485836973
PL51,PL,566,0.08066125124697164,9114,2025,735.1466438648995,2798300,2.6271187644816476,67.09,nuts2,0.570522929928972
PL52,PL,147,0.020949123557075674,9114,2025,190.9303120991877,884774,2.157955727668169,56.73,nuts2,0.659621005218801
PL61,PL,381,0.0542967079948696,9114,2025,494.8601966652416,1920440,2.576806339511995,55.82,nuts2,0.6430910088373086
